@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26023:3:26023:9|Removing sequential instance block13 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26063:3:26063:9|Removing sequential instance block12 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26103:3:26103:9|Removing sequential instance block11 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26143:3:26143:9|Removing sequential instance block10 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26183:3:26183:8|Removing sequential instance block9 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26223:3:26223:8|Removing sequential instance block8 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26263:3:26263:8|Removing sequential instance block7 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26303:3:26303:8|Removing sequential instance block6 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26343:3:26343:8|Removing sequential instance block5 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26383:3:26383:8|Removing sequential instance block4 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26423:3:26423:8|Removing sequential instance block3 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26463:3:26463:8|Removing sequential instance block2 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/component/work/COREAHBLSRAM_C0/COREAHBLSRAM_C0_0/rtl/vhdl/core/lsram_2048to139264x8.vhd":26503:3:26503:8|Removing sequential instance block1 (in view: coreahblsram_lib.COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8(translated)) of type view:ACG4.RAM1K18(PRIM) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/hdl/neorv32_uart.vhd":463:4:463:5|Removing sequential instance uart_rts_o (in view: neorv32.neorv32_uart(neorv32_uart_rtl)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/hdl/neorv32_mtime.vhd":121:4:121:5|Removing sequential instance mtime_lo_q[31:0] (in view: neorv32.neorv32_mtime(neorv32_mtime_rtl)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/hdl/neorv32_cpu_control.vhd":553:4:553:5|Removing sequential instance ctrl\.lsu_fence (in view: neorv32.neorv32_cpu_control(neorv32_cpu_control_rtl)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: FX1184 |Applying syn_allowed_resources blockrams=21 on top level netlist top_sd 
@N: FX1143 |Skipping assigning INTERNAL_VREF to iobanks, because the table of mapping from pin to iobank is not initialized.
@N: BN225 |Writing default property annotation file /home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/synthesis/top_sd.sap.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/hdl/neorv32_uart.vhd":321:4:321:5|Removing sequential instance tx_engine\.state[3] (in view: neorv32.neorv32_uart(neorv32_uart_rtl)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/hdl/neorv32_uart.vhd":321:4:321:5|Removing sequential instance tx_engine\.state[4] (in view: neorv32.neorv32_uart(neorv32_uart_rtl)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: MO225 :"/home/tycho/git/NEORV32-SRAM/neorv32-sf2-with-sram/prj_dir/hdl/neorv32_uart.vhd":393:4:393:5|There are no possible illegal states for state machine rx_engine\.state[0:3] (in view: neorv32.neorv32_uart(neorv32_uart_rtl)); safe FSM implementation is not required.
